hunmin,jamo,chosung,simplified,traditional,intonation,priority
관 쟈오,ㄱㅗㅏㄴㅈㅑㅇㅗ,ㄱㅈㅇ,关照 ,,"1,4",1
관 터우,ㄱㅗㅏㄴㅌㅓㅇㅜ,ㄱㅌㅇ,罐头 ,,"4,0",1
관 화이,ㄱㅗㅏㄴㅎㅗㅏㅇㅣ,ㄱㅎㅇ,关怀 ,,"1,2",1
관광,ㄱㅗㅏㄴㄱㅗㅏㅇ,ㄱㄱ,观光,,"1,1",1
관녠,ㄱㅗㅏㄴㄴㅖㄴ,ㄱㄴ,观念 ,,"1,4",1
관뎬,ㄱㅗㅏㄴㄷㅖㄴ,ㄱㄷ,观点 ,,"1,3",1
관리,ㄱㅗㅏㄴㄹㅣ,ㄱㄹ,管理 ,,"3,3",1
관리,ㄱㅗㅏㄴㄹㅣ,ㄱㄹ,惯例 ,,"4,4",2
관비,ㄱㅗㅏㄴㅂㅣ,ㄱㅂ,关闭 ,,"1,2",1
관시,ㄱㅗㅏㄴㅅㅣ,ㄱㅅ,关系 ,,"1,0",1
관신,ㄱㅗㅏㄴㅅㅣㄴ,ㄱㅅ,关心 ,,"1,1",1
관위,ㄱㅗㅏㄴㅇㅜㅣ,ㄱㅇ,关于 ,,"1,2",1
관졘,ㄱㅗㅏㄴㅈㅖㄴ,ㄱㅈ,关键 ,,"1,4",1
관쥔,ㄱㅗㅏㄴㅈㅜㅣㄴ,ㄱㅈ,冠军 ,,"4,1",1
관즁,ㄱㅗㅏㄴㅈㅠㅇ,ㄱㅈ,观众 ,,"1,4",1
관쯔,ㄱㅗㅏㄴㅉㅡ,ㄱㅉ,管子 ,,"3,0",1
관챠,ㄱㅗㅏㄴㅊㅑ,ㄱㅊ,观察 ,,"1,2",1
관쳐,ㄱㅗㅏㄴㅊㅕ,ㄱㅊ,贯彻 ,,"4,4",1
관ᅗᅡᆼ,ㄱㅗㅏㄴㅍ`ㅏㅇ,ㄱㅍ`,官方 ,,"1,1",1
광,ㄱㅗㅏㅇ,ㄱ,逛,逛,4,3
광,ㄱㅗㅏㅇ,ㄱ,广,廣,3,2
광,ㄱㅗㅏㅇ,ㄱ,光,光,1,1
광 가오,ㄱㅗㅏㅇㄱㅏㅇㅗ,ㄱㄱㅇ,广告 ,,"3,4",1
광 차이,ㄱㅗㅏㅇㅊㅏㅇㅣ,ㄱㅊㅇ,光彩 ,,"1,3",1
광 후이,ㄱㅗㅏㅇㅎㅜㅇㅣ,ㄱㅎㅇ,光辉 ,,"1,1",1
광다,ㄱㅗㅏㅇㄷㅏ,ㄱㄷ,广大 ,,"3,4",1
광ᄛᅮᆼ,ㄱㅗㅏㅇㄹㅜㅇ,ㄱㄹ,光荣 ,,"1,2",1
광린,ㄱㅗㅏㅇㄹㅣㄴ,ㄱㄹ,光临 ,,"1,2",1
광망,ㄱㅗㅏㅇㅁㅏㅇ,ㄱㅁ,光芒 ,,"1,2",1
광밍,ㄱㅗㅏㅇㅁㅣㅇ,ㄱㅁ,光明 ,,"1,2",1
광보,ㄱㅗㅏㅇㅂㅗ,ㄱㅂ,广播 ,,"3,1",1
광챵,ㄱㅗㅏㅇㅊㅑㅇ,ㄱㅊ,广场 ,,"3,3",1
광쿼,ㄱㅗㅏㅇㅋㅜㅓ,ㄱㅋ,广阔 ,,"3,4",1
광판,ㄱㅗㅏㅇㅍㅏㄴ,ㄱㅍ,光盘 ,,"1,2",1
광ᅗᅡᆫ,ㄱㅗㅏㅇㅍ`ㅏㄴ,ㄱㅍ`,广泛 ,,"3,4",1
광화,ㄱㅗㅏㅇㅎㅗㅏ,ㄱㅎ,光滑 ,,"1,2",1
구,ㄱㅜ,ㄱ,固,固,4,7
구,ㄱㅜ,ㄱ,故,故,4,1
구,ㄱㅜ,ㄱ,雇,雇,4,11
구,ㄱㅜ,ㄱ,顾,顧,4,5
구,ㄱㅜ,ㄱ,古,古,3,2
구,ㄱㅜ,ㄱ,股,股,3,4
구,ㄱㅜ,ㄱ,鼓,鼓,3,6
구,ㄱㅜ,ㄱ,骨,骨,3,3
구,ㄱㅜ,ㄱ,姑,姑,1,9
구,ㄱㅜ,ㄱ,孤,孤,1,8
구,ㄱㅜ,ㄱ,估,估,1,10
구 과이,ㄱㅜㄱㅗㅏㅇㅣ,ㄱㄱㅇ,古怪 ,,"3,4",1
구 다이,ㄱㅜㄷㅏㅇㅣ,ㄱㄷㅇ,古代 ,,"3,4",1
구 라오,ㄱㅜㄹㅏㅇㅗ,ㄱㄹㅇ,古老 ,,"3,3",1
구 시앙,ㄱㅜㅅㅣㅇㅏㅇ,ㄱㅅㅇ,故乡 ,,"4,1",1
구 터우,ㄱㅜㅌㅓㅇㅜ,ㄱㅌㅇ,骨头 ,,"3,0",1
구 퍄오,ㄱㅜㅍㅑㅇㅗ,ㄱㅍㅇ,股票 ,,"3,4",1
구간,ㄱㅜㄱㅏㄴ,ㄱㄱ,骨干 ,,"3,4",1
구구,ㄱㅜㄱㅜ,ㄱㄱ,姑姑 ,,"1,0",1
구냥,ㄱㅜㄴㅑㅇ,ㄱㄴ,姑娘 ,,"1,2",1
