hunmin,jamo,chosung,simplified,traditional,intonation,priority
궁넝,ㄱㅜㅇㄴㅓㅇ,ㄱㄴ,功能 ,,"1,2",1
궁리,ㄱㅜㅇㄹㅣ,ㄱㄹ,公里 ,,"1,3",1
궁지,ㄱㅜㅇㄹㅣ,ㄱㄹ,共计 ,,"4,4",1
궁ᄛᅡᆫ,ㄱㅜㅇㄹ`ㅏㄴ,ㄱㄹ`,公然 ,,"1,2",1
궁ᄛᅥᆫ,ㄱㅜㅇㄹ`ㅓㄴ,ㄱㄹ`,工人 ,,"1,2",1
궁ᄛᅥᆫ,ㄱㅜㅇㄹ`ㅓㄴ,ㄱㄹ`,公认 ,,"1,4",2
궁민,ㄱㅜㅇㅁㅣㄴ,ㄱㅁ,公民 ,,"1,2",1
궁밍,ㄱㅜㅇㅁㅣㅇ,ㄱㅁ,共鸣 ,,"4,2",1
궁부,ㄱㅜㅇㅂㅜ,ㄱㅂ,公布 ,,"1,4",1
궁셴,ㄱㅜㅇㅅㅖㄴ,ㄱㅅ,贡献 ,,"4,4",1
궁시,ㄱㅜㅇㅅㅣ,ㄱㅅ,恭喜 ,,"1,3",1
궁쓰,ㄱㅜㅇㅆㅡ,ㄱㅆ,公司 ,,"1,1",1
궁ᄵᅳ,ㄱㅜㅇㅅ`ᅳ,ㄱㅅ`,公式 ,,"1,4",1
궁예,ㄱㅜㅇㅇㅖ,ㄱㅇ,工业 ,,"1,4",1
궁우,ㄱㅜㅇㅇㅜ,ㄱㅇ,公务 ,,"1,4",1
궁위,ㄱㅜㅇㅇㅜㅣ,ㄱㅇ,公寓 ,,"1,4",1
궁졍,ㄱㅜㅇㅈㅕㅇ,ㄱㅈ,公证 ,,"1,4",2
궁졍,ㄱㅜㅇㅈㅕㅇ,ㄱㅈ,公正 ,,"1,4",1
궁줘,ㄱㅜㅇㅈㅜㅓ,ㄱㅈ,工作 ,,"1,4",1
궁쥐,ㄱㅜㅇㅈㅜㅣ,ㄱㅈ,工具 ,,"1,4",1
궁쥬,ㄱㅜㅇㅈㅠ,ㄱㅈ,公主 ,,"1,3",1
궁지,ㄱㅜㅇㅈㅣ,ㄱㅈ,供给 ,,"1,3",2
궁지,ㄱㅜㅇㅈㅣ,ㄱㅈ,攻击 ,,"1,1",1
궁진,ㄱㅜㅇㅈㅣㄴ,ㄱㅈ,公斤 ,,"1,1",1
궁징,ㄱㅜㅇㅈㅣㅇ,ㄱㅈ,恭敬 ,,"1,4",1
궁쯔,ㄱㅜㅇㅉㅡ,ㄱㅉ,工资 ,,"1,1",1
궁챵,ㄱㅜㅇㅊㅑㅇ,ㄱㅊ,工厂 ,,"1,3",1
궁커,ㄱㅜㅇㅋㅓ,ㄱㅋ,功课 ,,"1,4",1
궁커,ㄱㅜㅇㅋㅓ,ㄱㅋ,攻克 ,,"1,4",2
궁퉁,ㄱㅜㅇㅌㅜㅇ,ㄱㅌ,共同 ,,"4,2",1
궁팅,ㄱㅜㅇㅌㅣㅇ,ㄱㅌ,宫廷,,"1,2",1
궁포,ㄱㅜㅇㅍㅗ,ㄱㅍ,公婆 ,,"1,2",1
궁핑,ㄱㅜㅇㅍㅣㅇ,ㄱㅍ,公平 ,,"1,2",1
궁ᅗᅮ,ㄱㅜㅇㅍ`ᅮ,ㄱㅍ`,功夫 ,,"1,0",1
궁ᅗᅮ,ㄱㅜㅇㅍ`ᅮ,ㄱㅍ`,工夫 ,,"1,1",2
궈,ㄱㅜㅓ,ㄱ,国,国,2,2
궈,ㄱㅜㅓ,ㄱ,过,過,4,1
궈,ㄱㅜㅓ,ㄱ,果,果,3,4
궈,ㄱㅜㅓ,ㄱ,裹,裹,3,5
궈,ㄱㅜㅓ,ㄱ,锅,鍋,1,3
궈 라이,ㄱㅜㅓㄹㅏㅇㅣ,ㄱㄹㅇ,过来 ,,"4,2",1
궈 우 위안,ㄱㅜㅓㅇㅜㅇㅜㅣㅇㅏㄴ,ㄱㅇㅇㅇ,国务院 ,,"2,4,4",1
궈 지아,ㄱㅜㅓㅈㅣㅇㅏ,ㄱㅈㅇ,国家 ,,"2,1",1
궈 지앙,ㄱㅜㅓㅈㅣㅇㅏㅇ,ㄱㅈㅇ,过奖 ,,"4,3",1
궈 칭 졔,ㄱㅜㅓㅊㅣㅇㅈㅖ,ㄱㅊㅈ,国庆节 ,,"2,4,2",1
궈녠,ㄱㅜㅓㄴㅖㄴ,ㄱㄴ,过年 ,,"4,0",1
궈돤,ㄱㅜㅓㄷㅗㅏㄴ,ㄱㄷ,果断 ,,"3,4",1
궈두,ㄱㅜㅓㄷㅜ,ㄱㄷ,过度 ,,"4,4",1
궈두,ㄱㅜㅓㄷㅜ,ㄱㄷ,过渡 ,,"4,4",2
궈둬,ㄱㅜㅓㄷㅜㅓ,ㄱㄷ,过多 ,,"4,1",1
궈뤼,ㄱㅜㅓㄹㅜㅣ,ㄱㄹ,过滤 ,,"4,4",1
궈ᄛᅡᆫ,ㄱㅜㅓㄹ`ㅏㄴ,ㄱㄹ`,果然 ,,"3,2",1
궈민,ㄱㅜㅓㅁㅣㄴ,ㄱㅁ,过敏 ,,"4,3",1
궈ᄵᅳ,ㄱㅜㅓㅅ`ᅳ,ㄱㅅ`,过失 ,,"4,1",3
궈ᄵᅳ,ㄱㅜㅓㅅ`ᅳ,ㄱㅅ`,果实 ,,"3,2",1
궈ᄵᅳ,ㄱㅜㅓㅅ`ᅳ,ㄱㅅ`,过时 ,,"4,2",2
궈위,ㄱㅜㅓㅇㅜㅣ,ㄱㅇ,过于 ,,"4,2",1
궈윈,ㄱㅜㅓㅇㅜㅣㄴ,ㄱㅇ,过问 ,,"4,4",1
궈인,ㄱㅜㅓㅇㅣㄴ,ㄱㅇ,过瘾 ,,"4,3",1
궈지,ㄱㅜㅓㅈㅣ,ㄱㅈ,国籍 ,,"2,2",2
궈지,ㄱㅜㅓㅈㅣ,ㄱㅈ,国际 ,,"2,1",1
궈ᅍᅳ,ㄱㅜㅓㅈ`ᅳ,ㄱㅈ`,果汁 ,,"3,1",1
궈쳥,ㄱㅜㅓㅊㅕㅇ,ㄱㅊ,过程 ,,"4,2",1
궈취,ㄱㅜㅓㅊㅜㅣ,ㄱㅊ,过去 ,,"4,4",1
궈치,ㄱㅜㅓㅊㅣ,ㄱㅊ,过期 ,,"4,1",1
궈ᅗᅡᆼ,ㄱㅜㅓㅍ`ㅏㅇ,ㄱㅍ`,国防 ,,"2,2",1
궈ᅗᅥᆫ,ㄱㅜㅓㅍ`ㅓㄴ,ㄱㅍ`,过分 ,,"4,4",1
까,ㄲㅏ,ㄲ,咖,咖,1,1
까오,ㄲㅏㅇㅗ,ㄲㅇ,告,告,4,2
까오,ㄲㅏㅇㅗ,ㄲㅇ,膏,膏,1,4
까오,ㄲㅏㅇㅗ,ㄲㅇ,高,高,1,1
까오,ㄲㅏㅇㅗ,ㄲㅇ,糕,糕,1,5
까오,ㄲㅏㅇㅗ,ㄲㅇ,搞,搞,3,3
까오,ㄲㅏㅇㅗ,ㄲㅇ,镐,镐,3,6
까이,ㄲㅏㅇㅣ,ㄲㅇ,盖,蓋,4,3
까이,ㄲㅏㅇㅣ,ㄲㅇ,概,槩,4,4
까이,ㄲㅏㅇㅣ,ㄲㅇ,该,該,1,1
까이,ㄲㅏㅇㅣ,ㄲㅇ,改,改,3,2
깐,ㄲㅏㄴ,ㄲ,干,幹,4,2
깐,ㄲㅏㄴ,ㄲ,杆,杆,3,5
깐,ㄲㅏㄴ,ㄲ,赶,趕,3,7
깐,ㄲㅏㄴ,ㄲ,感,感,3,1
깐,ㄲㅏㄴ,ㄲ,敢,敢,3,4
깐,ㄲㅏㄴ,ㄲ,杆,杆,1,6
깐,ㄲㅏㄴ,ㄲ,干,乾,1,3
깡,ㄲㅏㅇ,ㄲ,港,港,3,2
깡,ㄲㅏㅇ,ㄲ,钢,钢,1,3
깡,ㄲㅏㅇ,ㄲ,刚,剛,1,1
깡,ㄲㅏㅇ,ㄲ,缸,缸,1,4
꺼,ㄲㅓ,ㄲ,格,格,2,5
꺼,ㄲㅓ,ㄲ,隔,隔,2,6
꺼,ㄲㅓ,ㄲ,革,革,2,7
꺼,ㄲㅓ,ㄲ,各,各,4,2
꺼,ㄲㅓ,ㄲ,个,個,4,1
꺼,ㄲㅓ,ㄲ,各,各,3,11
꺼,ㄲㅓ,ㄲ,合,合,3,10
꺼,ㄲㅓ,ㄲ,歌,歌,1,4
꺼,ㄲㅓ,ㄲ,胳,胳,1,9
꺼,ㄲㅓ,ㄲ,鸽,鸽,1,8
꺼,ㄲㅓ,ㄲ,哥,哥,1,3
꺼우,ㄲㅓㅇㅜ,ㄲㅇ,够,够,4,2
꺼우,ㄲㅓㅇㅜ,ㄲㅇ,构,構,4,6
꺼우,ㄲㅓㅇㅜ,ㄲㅇ,购,購,4,5
꺼우,ㄲㅓㅇㅜ,ㄲㅇ,狗,狗,3,1
꺼우,ㄲㅓㅇㅜ,ㄲㅇ,勾,勾,1,4
꺼우,ㄲㅓㅇㅜ,ㄲㅇ,沟,溝,1,3
껀,ㄲㅓㄴ,ㄲ,根,根,1,2
껀,ㄲㅓㄴ,ㄲ,跟,跟,1,1
껑,ㄲㅓㅇ,ㄲ,羹,羹,1,3
껑,ㄲㅓㅇ,ㄲ,更,更,1,1
껑,ㄲㅓㅇ,ㄲ,更,更,4,3
께이,ㄲㅔㅇㅣ,ㄲㅇ,给,給,3,1
꼬우 오,ㄲㅗㅇㅜㅇㅗ,ㄲㅇㅇ,购物 ,,"4,4",1
꽈,ㄲㅗㅏ,ㄲ,挂,挂,4,1
꽈,ㄲㅗㅏ,ㄲ,刮,刮,1,2
꽈,ㄲㅗㅏ,ㄲ,褂,褂,4,4
꽈,ㄲㅗㅏ,ㄲ,瓜,瓜,1,3
꽈이,ㄲㅗㅏㅇㅣ,ㄲㅇ,拐,拐,3,3
꽈이,ㄲㅗㅏㅇㅣ,ㄲㅇ,乖,乖,1,2
꽈이,ㄲㅗㅏㅇㅣ,ㄲㅇ,怪,怪,4,1
꽌,ㄲㅗㅏㄴ,ㄲ,冠,冠,4,6
꽌,ㄲㅗㅏㄴ,ㄲ,罐,罐,4,7
꽌,ㄲㅗㅏㄴ,ㄲ,惯,慣,4,8
꽌,ㄲㅗㅏㄴ,ㄲ,管,管,3,2
꽌,ㄲㅗㅏㄴ,ㄲ,馆,馆,3,3
꽌,ㄲㅗㅏㄴ,ㄲ,官,官,1,4
꽌,ㄲㅗㅏㄴ,ㄲ,观,觀,1,5
꽌,ㄲㅗㅏㄴ,ㄲ,关,關,1,1
꽝,ㄲㅗㅏㅇ,ㄲ,逛,逛,4,3
꽝,ㄲㅗㅏㅇ,ㄲ,广,廣,3,2
꽝,ㄲㅗㅏㅇ,ㄲ,光,光,1,1
꾸,ㄲㅜ,ㄲ,固,固,4,7
꾸,ㄲㅜ,ㄲ,故,故,4,1
꾸,ㄲㅜ,ㄲ,雇,雇,4,11
꾸,ㄲㅜ,ㄲ,顾,顧,4,5
꾸,ㄲㅜ,ㄲ,古,古,3,2
꾸,ㄲㅜ,ㄲ,股,股,3,4
꾸,ㄲㅜ,ㄲ,鼓,鼓,3,6
꾸,ㄲㅜ,ㄲ,骨,骨,3,3
꾸,ㄲㅜ,ㄲ,姑,姑,1,9
꾸,ㄲㅜ,ㄲ,孤,孤,1,8
꾸,ㄲㅜ,ㄲ,估,估,1,10
꾸딩,ㄲㅜㄷㅣㅇ,ㄲㄷ,固定 ,,"4,1",1
꾸이,ㄲㅜㅇㅣ,ㄲㅇ,柜,櫃,4,4
꾸이,ㄲㅜㅇㅣ,ㄲㅇ,桂,桂,4,5
꾸이,ㄲㅜㅇㅣ,ㄲㅇ,贵,貴,4,1
꾸이,ㄲㅜㅇㅣ,ㄲㅇ,规,规,1,6
꾸이,ㄲㅜㅇㅣ,ㄲㅇ,鬼,鬼,3,3
꾸이,ㄲㅜㅇㅣ,ㄲㅇ,瑰,瑰,1,7
꾸이,ㄲㅜㅇㅣ,ㄲㅇ,归,歸,1,2
꾼,ㄲㅜㄴ,ㄲ,棍,棍,4,2
꾼,ㄲㅜㄴ,ㄲ,滚,滚,3,1
꿍,ㄲㅜㅇ,ㄲ,共,共,4,3
꿍,ㄲㅜㅇ,ㄲ,贡,贡,4,7
꿍,ㄲㅜㅇ,ㄲ,公,公,1,1
꿍,ㄲㅜㅇ,ㄲ,功,功,1,6
꿍,ㄲㅜㅇ,ㄲ,工,工,1,5
꿍,ㄲㅜㅇ,ㄲ,恭,恭,1,8
꿍,ㄲㅜㅇ,ㄲ,宫,宫,1,2
꿍,ㄲㅜㅇ,ㄲ,红,红,1,9
꿍,ㄲㅜㅇ,ㄲ,供,供,1,4
꿔,ㄲㅜㅓ,ㄲ,国,国,2,2
꿔,ㄲㅜㅓ,ㄲ,过,過,4,1
꿔,ㄲㅜㅓ,ㄲ,果,果,3,4
꿔,ㄲㅜㅓ,ㄲ,裹,裹,3,5
꿔,ㄲㅜㅓ,ㄲ,锅,鍋,1,3
나,ㄴㅏ,ㄴ,拿,拿,2,3
나,ㄴㅏ,ㄴ,那,那,4,1
나,ㄴㅏ,ㄴ,纳,纳,4,4
나,ㄴㅏ,ㄴ,哪,哪,3,2
나 게이,ㄴㅏㄱㅔㅇㅣ,ㄴㄱㅇ,拿给 ,,"2,3",1
나 먼 얼,ㄴㅏㅁㅓㄴㅇㅓㄹ,ㄴㅁㅇ,纳闷儿 ,,"4,4,0",1
나 부 랴오,ㄴㅏㅂㅜㄹㅑㅇㅗ,ㄴㅂㄹㅇ,拿不了 ,,"2,0,3",1
나 쇼우,ㄴㅏㅅㅛㅇㅜ,ㄴㅅㅇ,拿手 ,,"2,3",1
나 조우,ㄴㅏㅈㅗㅇㅜ,ㄴㅈㅇ,拿走 ,,"2,3",1
나 츄 라이,ㄴㅏㅊㅠㄹㅏㅇㅣ,ㄴㅊㄹㅇ,拿出来,,"2,1,2",1
나오,ㄴㅏㅇㅗ,ㄴㅇ,闹,鬧,4,2
나오,ㄴㅏㅇㅗ,ㄴㅇ,恼,惱,3,3
나오,ㄴㅏㅇㅗ,ㄴㅇ,脑,腦,3,1
나오 다이,ㄴㅏㅇㅗㄷㅏㅇㅣ,ㄴㅇㄷㅇ,脑袋 ,,"3,0",1
나오 마오 둔,ㄴㅏㅇㅗㅁㅏㅇㅗㄷㅜㄴ,ㄴㅇㅁㅇㄷ,闹矛盾,,"4,2,4",1
나오 훠,ㄴㅏㅇㅗㅎㅜㅓ,ㄴㅇㅎ,恼火 ,,"3,3",1
나이,ㄴㅏㅇㅣ,ㄴㅇ,奈,奈,4,3
나이,ㄴㅏㅇㅣ,ㄴㅇ,耐,耐,4,2
나이,ㄴㅏㅇㅣ,ㄴㅇ,奶,奶,3,1
나이 나이,ㄴㅏㅇㅣㄴㅏㅇㅣ,ㄴㅇㄴㅇ,奶奶 ,,"3,0",1
나이 신,ㄴㅏㅇㅣㅅㅣㄴ,ㄴㅇㅅ,耐心 ,,"4,1",1
나이 융,ㄴㅏㅇㅣㅇㅠㅇ,ㄴㅇㅇ,耐用 ,,"4,4",1
나파,ㄴㅏㅍㅏ,ㄴㅍ,哪怕 ,,"3,4",1
난,ㄴㅏㄴ,ㄴ,难,難,2,2
난,ㄴㅏㄴ,ㄴ,南,南,2,4
난,ㄴㅏㄴ,ㄴ,男,男,2,1
난,ㄴㅏㄴ,ㄴ,难,難,4,3
난 과이,ㄴㅏㄴㄱㅗㅏㅇㅣ,ㄴㄱㅇ,难怪 ,,"2,4",1
난 넝 커 구이,ㄴㅏㄴㄴㅓㅇㅋㅓㄱㅜㅇㅣ,ㄴㄴㅋㄱㅇ,难能可贵 ,,"2,2,3,4",1
난 다오,ㄴㅏㄴㄷㅏㅇㅗ,ㄴㄷㅇ,难道 ,,"2,4",1
난 쇼우,ㄴㅏㄴㅅㅛㅇㅜ,ㄴㅅㅇ,难受 ,,"2,4",1
난궈,ㄴㅏㄴㄱㅜㅓ,ㄴㄱ,难过 ,,"2,4",1
난더,ㄴㅏㄴㄷㅓ,ㄴㄷ,难得 ,,"2,2",1
난ᄛᅥᆫ,ㄴㅏㄴㄹ`ㅓㄴ,ㄴㄹ`,男人 ,,"2,2",1
난몐,ㄴㅏㄴㅁㅖㄴ,ㄴㅁ,难免 ,,"2,3",1
난칸,ㄴㅏㄴㅋㅏㄴ,ㄴㅋ,难看 ,,"2,4",1
난칸,ㄴㅏㄴㅋㅏㄴ,ㄴㅋ,难堪 ,,"2,1",2
냐오,ㄴㅑㅇㅗ,ㄴㅇ,尿,尿,4,1
냐오,ㄴㅑㅇㅗ,ㄴㅇ,鸟,鳥,3,2
냥,ㄴㅑㅇ,ㄴ,娘,娘,2,1
너,ㄴㅓ,ㄴ,呢,呢,5,1
넌,ㄴㅓㄴ,ㄴ,嫩,嫩,4,1
넝,ㄴㅓㅇ,ㄴ,能,能,2,1
넝 위안,ㄴㅓㅇㅇㅜㅣㅇㅏㄴ,ㄴㅇㅇ,能源 ,,"2,2",1
넝간,ㄴㅓㅇㄱㅏㄴ,ㄴㄱ,能干 ,,"2,4",1
넝량,ㄴㅓㅇㄹㅑㅇ,ㄴㄹ,能量 ,,"2,4",1
넝리,ㄴㅓㅇㄹㅣ,ㄴㄹ,能力 ,,"2,4",1
네이,ㄴㅔㅇㅣ,ㄴㅇ,内,内,4,1
네이 ᄛᅮᆼ,ㄴㅔㅇㅣㄹ`ᅮㅇ,ㄴㅇㄹ`,内容 ,,"4,2",1
네이 자이,ㄴㅔㅇㅣㅈㅏㅇㅣ,ㄴㅇㅈㅇ,内在 ,,"4,4",1
네이 커,ㄴㅔㅇㅣㅋㅓ,ㄴㅇㅋ,内科 ,,"4,1",1
네이 한,ㄴㅔㅇㅣㅎㅏㄴ,ㄴㅇㅎ,内涵 ,,"4,2",1
녜,ㄴㅖ,ㄴ,捏,捏,1,1
녜 이 반 한,ㄴㅖㅇㅣㅂㅏㄴㅎㅏㄴ,ㄴㅇㅂㅎ,捏一把汗,,"1,4,3,4",1
녠,ㄴㅖㄴ,ㄴ,年,年,2,1
녠,ㄴㅖㄴ,ㄴ,念,念,4,1
녠 다이,ㄴㅖㄴㄷㅏㅇㅣ,ㄴㄷㅇ,年代 ,,"2,4",1
녠두,ㄴㅖㄴㄷㅜ,ㄴㄷ,年度 ,,"2,4",1
녠디,ㄴㅖㄴㄷㅣ,ㄴㄷ,年底 ,,"2,3",1
녠링,ㄴㅖㄴㄹㅣㅇ,ㄴㄹ,年龄 ,,"2,2",1
녠지,ㄴㅖㄴㅈㅣ,ㄴㅈ,年级 ,,"2,2",1
녠지,ㄴㅖㄴㅈㅣ,ㄴㅈ,年纪 ,,"2,4",1
녠칭,ㄴㅖㄴㅊㅣㅇ,ㄴㅊ,年轻 ,,"2,1",1
놘,ㄴㅗㅏㄴ,ㄴ,暖,暖,3,1
놘훠,ㄴㅗㅏㄴㅎㅜㅓ,ㄴㅎ,暖和 ,,"3,0",1
누,ㄴㅜ,ㄴ,奴,奴,2,2
누,ㄴㅜ,ㄴ,怒,怒,4,1
누,ㄴㅜ,ㄴ,努,努,3,3
누,ㄴㅜ,ㄴ,女,女,3,4
누리,ㄴㅜㄹㅣ,ㄴㄹ,努力 ,,"3,4",1
눙,ㄴㅜㅇ,ㄴ,农,農,2,3
눙,ㄴㅜㅇ,ㄴ,浓,濃,2,2
눙,ㄴㅜㅇ,ㄴ,弄,弄,4,1
눙 허우,ㄴㅜㅇㅎㅓㅇㅜ,ㄴㅎㅇ,浓厚 ,,"2,4",1
눙 화이,ㄴㅜㅇㅎㅗㅏㅇㅣ,ㄴㅎㅇ,弄坏 ,,"4,4",1
눙듀,ㄴㅜㅇㄷㅠ,ㄴㄷ,弄丢 ,,"4,1",1
눙리,ㄴㅜㅇㄹㅣ,ㄴㄹ,农历 ,,"2,4",1
눙민,ㄴㅜㅇㅁㅣㄴ,ㄴㅁ,农民 ,,"2,2",1
눙예,ㄴㅜㅇㅇㅖ,ㄴㅇ,农业 ,,"2,4",1
눙장,ㄴㅜㅇㅈㅏㅇ,ㄴㅈ,弄脏 ,,"4,1",1
눙춘,ㄴㅜㅇㅊㅜㄴ,ㄴㅊ,农村 ,,"2,1",1
눙춰,ㄴㅜㅇㅊㅜㅓ,ㄴㅊ,弄错 ,,"4,4",1
눠,ㄴㅜㅓ,ㄴ,诺,诺,4,1
눼 다이,ㄴㅜㅔㄷㅏㅇㅣ,ㄴㄷㅇ,虐待 ,,"4,4",1
뉘ᄵᅳ,ㄴㅜㅣㅅ`ᅳ,ㄴㅅ`,女士 ,,"3,4",1
뉘얼,ㄴㅜㅣㅇㅓㄹ,ㄴㅇ,女儿 ,,"3,2",1
뉴,ㄴㅠ,ㄴ,牛,牛,4,1
뉴,ㄴㅠ,ㄴ,扭,扭,3,2
뉴,ㄴㅠ,ㄴ,钮,钮,3,3
뉴 나이,ㄴㅠㄴㅏㅇㅣ,ㄴㄴㅇ,牛奶 ,,"2,3",1
뉴 자이 쿠,ㄴㅠㅈㅏㅇㅣㅋㅜ,ㄴㅈㅇㅋ,牛仔裤 ,,"2,3,4",1
뉴 쥬안,ㄴㅠㅈㅠㅇㅏㄴ,ㄴㅈㅇ,扭转 ,,"3,3",1
뉴 커우얼,ㄴㅠㅋㅓㅇㅜㅇㅓㄹ,ㄴㅋㅇㅇ,纽扣儿 ,,"3,4,2",1
니,ㄴㅣ,ㄴ,呢,呢,2,4
니,ㄴㅣ,ㄴ,腻,腻,4,2
니,ㄴㅣ,ㄴ,你,你,3,1
니,ㄴㅣ,ㄴ,拟,擬,3,3
니딩,ㄴㅣㄷㅣㅇ,ㄴㄷ,拟定 ,,"3,4",1
닌,ㄴㅣㄴ,ㄴ,您,您,2,1
닝,ㄴㅣㅇ,ㄴ,宁,寧,2,1
닝,ㄴㅣㅇ,ㄴ,宁,寧,4,2
닝 위안,ㄴㅣㅇㅇㅜㅣㅇㅏㄴ,ㄴㅇㅇ,宁愿 ,,"4,4",1
닝구,ㄴㅣㅇㄱㅜ,ㄴㄱ,凝固 ,,"2,4",1
닝ᄵᅳ,ㄴㅣㅇㅅ`ᅳ,ㄴㅅ`,凝视 ,,"2,4",1
닝쥐,ㄴㅣㅇㅈㅜㅣ,ㄴㅈ,凝聚 ,,"2,4",1
닝커,ㄴㅣㅇㅋㅓ,ㄴㅋ,宁可 ,,"4,3",1
닝컨,ㄴㅣㅇㅋㅓㄴ,ㄴㅋ,宁肯 ,,"4,3",1
다,ㄷㅏ,ㄷ,答,答,2,4
다,ㄷㅏ,ㄷ,达,逹,2,3
다,ㄷㅏ,ㄷ,大,大,4,1
다,ㄷㅏ,ㄷ,打,打,3,2
다,ㄷㅏ,ㄷ,答,答,1,5
다,ㄷㅏ,ㄷ,搭,搭,1,6
다 가이,ㄷㅏㄱㅏㅇㅣ,ㄷㄱㅇ,大概 ,,"4,4",1
다 관 쓰,ㄷㅏㄱㅗㅏㄴㅆㅡ,ㄷㄱㅆ,打官司 ,,"3,1,0",1
다 다오,ㄷㅏㄷㅏㅇㅗ,ㄷㄷㅇ,达到 ,,"2,4",1
다 뎬 화,ㄷㅏㄷㅖㄴㅎㅗㅏ,ㄷㄷㅎ,打电话 ,,"3,4,4",1
다 란 치우,ㄷㅏㄹㅏㄴㅊㅣㅇㅜ,ㄷㄹㅊㅇ,打篮球 ,,"3,2,2",1
다 ᄛᅡ오,ㄷㅏㄹ`ㅏㅇㅗ,ㄷㄹ`ㅇ,打扰 ,,"3,3",1
다 바오,ㄷㅏㅂㅏㅇㅗ,ㄷㅂㅇ,打包 ,,"3,1",1
다 부 랴오,ㄷㅏㅂㅜㄹㅑㅇㅗ,ㄷㅂㄹㅇ,大不了 ,,"4,0,3",1
다 사오,ㄷㅏㅅㅏㅇㅗ,ㄷㅅㅇ,打扫 ,,"3,3",1
다 시앙,ㄷㅏㅅㅣㅇㅏㅇ,ㄷㅅㅇ,大象 ,,"4,4",1
다 ᄵᅳ 관,ㄷㅏㅅ`ᅳㄱㅗㅏㄴ,ㄷㅅ`ㄱ,大使馆 ,,"4,3,3",1
다 쟈오 후,ㄷㅏㅈㅑㅇㅗㅎㅜ,ㄷㅈㅇㅎ,打招呼 ,,"3,1,0",1
다 지아,ㄷㅏㅈㅣㅇㅏ,ㄷㅈㅇ,大家 ,,"4,1",1
다 지아,ㄷㅏㅈㅣㅇㅏ,ㄷㅈㅇ,打架 ,,"3,4",2
다 지아오 다오,ㄷㅏㅈㅣㅇㅏㅇㅗㄷㅏㅇㅗ,ㄷㅈㅇㅇㄷㅇ,打交道 ,,"3,1,0",1
다 펀 티,ㄷㅏㅍㅓㄴㅌㅣ,ㄷㅍㅌ,打喷嚏 ,,"3,1,4",1
다 페이,ㄷㅏㅍㅔㅇㅣ,ㄷㅍㅇ,搭配 ,,"1,4",1
다 훠얼,ㄷㅏㅎㅜㅓㅇㅓㄹ,ㄷㅎㅇ,大伙儿 ,,"1,3",1
다궁,ㄷㅏㄱㅜㅇ,ㄷㄱ,打工 ,,"3,1",1
다당,ㄷㅏㄷㅏㅇ,ㄷㄷ,搭档 ,,"1,4",1
다량,ㄷㅏㄹㅑㅇ,ㄷㄹ,打量 ,,"3,0",1
다례,ㄷㅏㄹㅖ,ㄷㄹ,打猎 ,,"3,4",1
다리,ㄷㅏㄹㅣ,ㄷㄹ,地理 ,,"4,3",1
다반,ㄷㅏㅂㅏㄴ,ㄷㅂ,打扮 ,,"3,0",1
다볜,ㄷㅏㅂㅖㄴ,ㄷㅂ,答辩 ,,"2,4",1
다샤,ㄷㅏㅅㅑ,ㄷㅅ,大厦 ,,"4,4",1
다샹,ㄷㅏㅅㅑㅇ,ㄷㅅ,打伤 ,,"3,1",1
다솬,ㄷㅏㅅㅗㅏㄴ,ㄷㅅ,打算 ,,"3,0",1
다싱,ㄷㅏㅅㅣㅇ,ㄷㅅ,大型 ,,"4,2",1
다쓰,ㄷㅏㅆㅡ,ㄷㅆ,大肆 ,,"4,4",1
다안,ㄷㅏㅇㅏㄴ,ㄷㅇ,答案 ,,"2,4",1
다오,ㄷㅏㅇㅗ,ㄷㅇ,到,到,4,1
다오,ㄷㅏㅇㅗ,ㄷㅇ,道,道,4,2
다오,ㄷㅏㅇㅗ,ㄷㅇ,倒,倒,3,3
다오,ㄷㅏㅇㅗ,ㄷㅇ,导,導,3,7
다오,ㄷㅏㅇㅗ,ㄷㅇ,岛,島,3,6
다오,ㄷㅏㅇㅗ,ㄷㅇ,刀,刀,1,5
다오,ㄷㅏㅇㅗ,ㄷㅇ,叨,叨,1,8
다오,ㄷㅏㅇㅗ,ㄷㅇ,倒,倒,4,4
다오 다,ㄷㅏㅇㅗㄷㅏ,ㄷㅇㄷ,到达 ,,"4,2",1
다오 단,ㄷㅏㅇㅗㄷㅏㄴ,ㄷㅇㄷ,导弹 ,,"3,4",1
다오 더,ㄷㅏㅇㅗㄷㅓ,ㄷㅇㄷ,道德 ,,"4,2",1
다오 디,ㄷㅏㅇㅗㄷㅣ,ㄷㅇㄷ,到底 ,,"4,3",1
다오 롼,ㄷㅏㅇㅗㄹㅗㅏㄴ,ㄷㅇㄹ,捣乱 ,,"3,4",1
다오 루,ㄷㅏㅇㅗㄹㅜ,ㄷㅇㄹ,道路 ,,"4,4",1
다오 리,ㄷㅏㅇㅗㄹㅣ,ㄷㅇㄹ,道理 ,,"4,3",1
다오 메이,ㄷㅏㅇㅗㅁㅔㅇㅣ,ㄷㅇㅁㅇ,倒霉 ,,"3,2",1
다오 비,ㄷㅏㅇㅗㅂㅣ,ㄷㅇㅂ,倒闭 ,,"3,4",1
